!!!,Freedom! '15
'96 Bulls,Future
#1 Dads,Two Weeks {triple j Like A Version}
A Night In Texas,The God Delusion
A Place To Bury Strangers,We've Come So Far
A Sol Mechanic,Tight Leash
A Tribe Called Quest,Bonita Applebum (Pharrell Wiiliams Remix)
A.D.K.O.B.,Disclaimer
A.D.K.O.B.,Glue
A.E.,Killafornia {Ft. Y.G. & Mila J}
A$AP Ferg,Dope Walk
A$AP Rocky,Electric Body {Ft. ScHoolboy Q}
A$AP Rocky,Everyday {Ft. Rod Stewart/Miguel/Mark Ronson}
A$AP Rocky,Excuse Me
A$AP Rocky,Holy Ghost {Ft. Joe Fox}
A$AP Rocky,Jukebox Joints {Ft. Joe Fox & Kanye West}
A$AP Rocky,L$D
A$AP Rocky,Pharsyde {Ft. Joe Fox}
ABRA,Roses
ACE ROMEO,Hyperdrive
Action Bronson,Actin Crazy {Prod. By 40}
Action Bronson,Baby Blue {Ft. Chance The Rapper}
Action Bronson,Brand New Car
Action Bronson,Terry
Active Child,Never Far Away
Adam Lowe,Capture
Aerials,Restless
Aeroplane,Let's Go Slow {Ft. Benjamin Diamond}
AFX,Serge Fenix Rendered 2
Ainslie Wills,Constellations
Ainslie Wills,Drive
Airling,Stallin'
Airling,U Got It Bad {triple j Like A Version}
Akroyd Smart,Different
Alabama Shakes,Don't Wanna Fight
Alabama Shakes,Future People
Alba,Operator
Alba,The Shift
Albert Hammond Jr,Born Slippy
Alex G,Salt
Alex Lahey,Air Mail
Algiers,Black Eunuch
Algiers,Blood
Algiers,Irony Utility Pretext
Ali Barter,Blood
Ali Barter,Hypercolour
Ali E,Track One
Alice Skye,1966
Alice Skye,For Every Year
Alina Baraz & Galimatias,Maybe
Alison Wonderland,Already Gone {Ft. Brave/Lido}
Alison Wonderland,Back It Up {Alison Wonderland x AWE}
Alison Wonderland,Carry On {Ft. Johnny Nelson/Ganz}
Alison Wonderland,Games
Alison Wonderland,One More Hit
Alison Wonderland,Run
Alison Wonderland,Take It To Reality {Ft. SAFIA}
Alison Wonderland,U Don't Know {Ft. Wayne Coyne}
All That Remains,This Probably Won't End Well
All Tvvins,Thank You
All We Are,Keep Me Alive
All We Are,Stone
Allan Smithy,The Streets
Allday,Coffin
Allday,Grammy
Ally Brown,Suburbia
Alpine,Cigarettes Will Kill You {triple j Like A Version}
Alpine,Come On
Alpine,Crunches
Alpine,Damn Baby
Alpine,Foolish
Alpine,Jellyfish
Alpine,Shot Fox
Alpine,Up For Air
Alyx Dennison,Jewels Are Just Lumps
"Amity Affliction, The",Shine On
"Amity Affliction, The",Skeletons
Anderson .Paak,Am I Wrong {Ft. ScHoolboy Q}
Anderson .Paak,The Season/Carry Me
Andras & Oscar,(I Know) What You Want
Andrei Eremin,Anhedoniac {Ft. Kucka}
Angel Haze,Candlxs
Angie,Down For The Count
Angie,Out Of Age
Angry Seas,Fish & Chips
Ann Vriend,A Need So Wide
Anna B Savage,I
Anna O,Close My Eyes {Ft. Angus Dawson}
Anna O,Whisper
Anna O,Wish I Said
Anna Of The North,The Dreamer
"Ansah Brothers, The",Go Figure
"Ansah Brothers, The",Never Learn
Anti,Flag,Brandenburg Gate {Ft. Tim Armstrong}
Anti,Flag,Sky Is Falling
Antony & Cleopatra,Take Me
APES,Dimension
Aphex Twin,18 With My Family
Apothek,Family
Aquila Young,Vagabond
Aquilo,Better Off Without You
Ara Koufax,Market
Arca,Vanity
Arcade Fire,Apocrypha
Arcade Fire,Soft Power
Arches,New Love {Ft. Karen Harding}
Archy Punker,Can't Run Without Legs
"Arcs, The",Outta My Mind
"Arcs, The",Stay In My Corner
Art Of Sleeping,Bleeding Out
Art Of Sleeping,Hotline Bling {triple j Like A Version}
Art Of Sleeping,Voodoo
Art vs Science,Chosen One
Art vs Science,Enter Sandman {triple j Like A Version}
Art vs Science,In This Together
Art vs Science,Tired Of Pretending
Art vs Science,Unity
Arthur Miles,6
Asdasfr Bawd,Alsp
Asdasfr Bawd,Negative Energy
Ash Grunwald,River
Ash Grunwald,Second Guess
Asha Jefferies,Kiss My Ass
Asta,Dynamite {Ft. Allday}
Asta,I Wanna Dance With Somebody {triple j Like A Version}
"Aston Shuffle, The",Don't Let Go
"Aston Shuffle, The",High With You
Astrid S,Hyde
Atlas Bound,Landed On Mars
Au Dré,Fool Me
Au.Ra,Talk Show
August Burns Red,Identity
August Burns Red,The Wake
Auguste,Slow Motion
AURORA,"Murder Song (5,4,3,2,1)"
AURORA,Runaway
AURORA,Running With The Wolves
AURORA,Under Stars
AUSTRALIA,Who R U
Autre Ne Veut,World War Pt. 2
Avaberee,Can't Get You Off My Mind
Avaberee,Doubt
Avalanche City,Inside Out
"Avener, The",Castle In The Snow {Ft. Kadebostany}
"Avener, The",Hate Street Dialogue {Ft. Rodriguez}
Aversions Crown,Parasites
Awaken I Am,Divisions
Awreeoh,Don't Get Deleted
Ayla,Throw Your Arms Around Me {triple j Like A Version}
Ayla,Waiting
Ayla,When The World Ends
B Wise,Lately
B Wise,Prince Akeem
Baauer,GoGo!
Baauer,Promises {Ft. Fetty Wap & Dubbel Dutch}
Babaganouj,Can't Stop
Babaganouj,Hit Song
"Babe Rainbow, The",Aloe Vera
"Babe Rainbow, The",Ashmay And Dr Lovewisdom
Bachelor Pad,Ever Get The Feeling?
Back Back Forward Punch,No Answer
Bad Decisions,ALLDAY
Bad Pony,Down To You
Bad Pony,Michael Moore
Bad//Dreems,Bogan Pride
Bad//Dreems,Can't Feel My Face {triple j Like A Version}
Bad//Dreems,Cuffed And Collared
Bad//Dreems,Hiding To Nothing
Bad//Dreems,Naden
Bad//Dreems,New Boys
BADBADNOTGOOD & Ghostface Killah,Gunshowers {Ft. Elzhi}
BADBADNOTGOOD & Ghostface Killah,Mind Playing Tricks
BADBADNOTGOOD & Ghostface Killah,Nuggets Of Wisdom
BADBADNOTGOOD & Ghostface Killah,Ray Gun {Ft. DOOM}
BADBADNOTGOOD & Ghostface Killah,Six Degrees {Ft. Danny Brown}
BADBADNOTGOOD & Ghostface Killah,Sour Soul
Bag Raiders,Vapour Trails
Baio,Brainwash yyrr Face
Baio,Sister Of Pearl
Balthazar,Then What
Banff,All Again
Banff,The Great Unknown
Banks,Better
Banoffee,Body Suit
Banoffee,With Her
Bare Bones,White Knuckles Black Tar
Baro,Bears {Ft. Venus Court}
Baroness,Chlorine & Wine
Baroness,Shock Me
BASECAMP,Watch My Back
Basenji,About You {Ft. Oscar Key Sung}
Basenji,Can't Get Enough
Basenji,Petals {Ft. Scenic}
Batpiss,Spiritually Challenged
Battlehounds,Visions
Battles,FF Bada
Battleships,In Time
BATTS,"For That, I'm Sorry"
BATTS,Morals
Beach Baby,Limousine
Beach House,All Your Yeahs
Beach House,Sparks
Beach House,Wildflower
Beach Slang,Bad Art & Weirdo Ideas
Beach Slang,Hard Luck Kid
Beach Slang,Noisy Heaven
Beach Slang,Ride The Wild Haze
Beat Connection,Illusion
Bec Sandridge,"In The Fog, In The Flame"
Beck,Dreams
Behaviors,Don't Fight It
Belle & Sebastian,Enter Sylvia Plath
Belle & Sebastian,Ever Had A Little Faith?
Belle Haven,The Looking Glass
"Belligerents, The",Looking At You
"Belligerents, The",Praise You {triple j Like A Version}
"Belligerents, The",Voices
Belu,Twenty Something
Ben Browning,Friends Of Mine
Ben Browning,Make It Easy
Ben Folds,Capable Of Anything
Ben Khan,1000
Ben Mason,Help The Best Things Grow
Ben Salter,Bones Under The Dunes
Ben Salter,The Translator
Ben Wright Smith,Born Yawning
Ben Wright Smith,No One
Beneb,Burning
"Bennies, The",(He'll Never Be An) Ol' Man River {triple j Like A Version}
"Bennies, The",Party Machine
Benson,Hollow {Ft. Thom Crawford}
"Besnard Lakes, The",Golden Lion
Best Coast,California Nights
Best Coast,Fading Fast
Best Coast,Feeling Ok
Best Coast,Fine Without You
Best Coast,Heaven Sent
Best Coast,In My Eyes
Best Coast,Wasted Time
Best Coast,When Will I Change
Best Friends,Fake Spit
Between The Buried And Me,Memory Palace
Bibio,Petals
Big Grams,Fell In The Sun
Big K.R.I.T.,86
Big Scary,Organism
Big Sean,Blessings {Ft. Drake & Kanye West}
Big Smoke,Lately
Big Strong Brute,Oh Me Oh My
Big White,Dinosaur City
Big White,You Know I Love You
Billy Fox,Lights
Billy Fox,You
Birds Of Tokyo,Anchor
Birds Of Tokyo,I'd Go With You Anywhere
BJ The Chicago Kid,Church {Ft. Chance The Rapper & Buddy}
Bjork,Lionsong
Bjork,Quicksand
Bjork,Stonemilker
"Black Queen, The",The End Where We Start
Black Vanilla,Slug
Blackalicious,Blacka
Blackalicious,The Blow Up
Blaenovon,Hell Is My Head
Blanck Mass,Dead Format
Blank Realm,No Views
Blank Realm,Palace Of Love
Blank Realm,River Of Longing
Bloc Party,The Love Within
Blonde Tongues,Hey Good Lookin'
Bluejuice,End Of The Road {triple j Like A Version}
Blur,Go Out
Blur,I Broadcast
Blur,Lonesome Street
Blur,There Are Too Many Of Us
BLY,Rosey
BLY,Superfluid
Boats,Shallows
Boats,Spider's Soul
Bob Moses,Before I Fall
Bob Moses,Talk
Bob Moses,Tearing Me Up
Bobby Alu,My Style
Bobby Alu,Step
Bobby Boomerang,Where Am I?
"Bohicas, The",The Making Of
"Bohicas, The",To Die For
Bon Voyage,Booshie
Bonjah,Burn
BOO SEEKA,Deception Bay
BOO SEEKA,Fool
BOO SEEKA,Kingdom Leader
BOO SEEKA,Pilgrim {triple j Like A Version}
Booka Shade,Line Of Fire {Ft. Karin Park}
Bootleg Rascal,Asleep In The Machine
Bootleg Rascal,Coming Home
Bootleg Rascal,Holding On
BOOTS,Aquaria {Ft. Deradoorian}
BOOTS,C.U.R.E.
BOOTS,I Run Roulette
Born Joy Dead,Chains On You
Born Joy Dead,Stones In My Shoe
Born Lion,Break The Curse
Born Lion,Good Dogs Play Dead
Born Lion,None Of The Above
BORNS,Electric Love
Bow And Arrow,Midnight
Boxed In,No Joke
Boy & Bear,A Thousand Faces
Boy & Bear,Breakdown Slow
Boy & Bear,Hollow Ground
Boy & Bear,Limit Of Love
Boy & Bear,Walk The Wire
Boy & Bear,Where'd You Go
BOYSETSFIRE,One Match
Braids,Sore Eyes
Branko,Eventually {Ft. Alex Rita & Bison}
Branko,Let Me Go {Ft. Nonku Phiri & Mr. Carmack}
Brawlers,Drink & Dial
Break Even,Young and Bright
Bree Tranter,More Sex And Love
Brendan Maclean,Techtonic
Brian Campeau,How We Knew
Bricc Baby Shitro,Piano Cracc {Prod. Brodinski}
Briggs,The Children Came Back {Ft. Geoffrey Gurrumul Yunupingu & Dewayne Everettsmith}
Bright Spark,Head In The Sand
Bring Me The Horizon,Avalanche
Bring Me The Horizon,Doomed
Bring Me The Horizon,Happy Song
Bring Me The Horizon,Oh No
Bring Me The Horizon,Run
Bring Me The Horizon,Throne
Bring Me The Horizon,True Friends
Bring Me The Horizon,What You Need
British India,Angela
British India,Blame It All On Me
British India,Spider Chords
British India,Suddenly
Broadway Sounds,Shonky Man
Broadway Sounds,Sing It Again
Broadwing,Pockets
Broadwing,Watermark
Brodinski,François,Xavier {Ft. Young Scooter}
Brodinski,Interviews {Ft. ILOVEMAKONNEN & Bloody Jay}
Broen,Iris
Broken Bells,It's That Talk Again
Bugs,Best Friend
Bugs,Heal
Bugs,Tinnies
Bullet For My Valentine,You Want A Battle? (Here's A War)
Bully,I Remember
Bully,Milkman
Bully,Too Tough
Bully,Trying
BUOY,Close/Open
BUOY,Don't Want To See You
BUOY,Took Me Up
Burial,Temple Sleeper
Buried In Verona,Hurricane
C.W. Stoneking,Mama Got The Blues
"Cactus Channel, The",Cobaw
"Cactus Channel, The",Kill The Doubt {Ft. Chet Faker}
Cage The Elephant,Mess Around
Cage The Elephant,Trouble
Cairo Knife Fight,Reality Engine
"Cairos, The",Love Don't Feel Right
Caligula's Horse,Marigold
Camp Lo,Bright Lights
Canary,Here We Go
Canary,Women's Business
Capewolf,Just Like Heaven
Caravana Sun,Ashes
Carl Craig & Green Velvet,Rosalie
Carmada,Lean On {triple j Like A Version}
Carmada,On Fire {Ft. Maribelle}
Cashmere Cat,Adore {Ft. Ariana Grande}
Cashmere Cat & DJ Mustard,Ice Rink
Cassian,Feel It
Cassian,Takeover
Cassius Select,Cross Strut
Castlecomer,Escapism
"Cat Empire, The",Wolves
Catfish And The Bottlemen,Hourglass {Single Version}
Catfish And The Bottlemen,Read My Mind {triple j Like A Version}
Catlips,Fade
Catlips,Silver Smoke
Caulfield,Hell Inside My Head
Ceres,Ceres Is For Lovers
Chairlift,Ch,Ching
Chance The Rapper,Angels {Ft. Saba}
Chance The Rapper,Israel (Sparring) {Ft. Noname Gypsy}
Chance The Rapper,Wanna Be Cool {Ft. Big Sean/Kyle/Jeremih} Chance The Rapper & The Social
Experiment,Lady Friend
Chance Waters,Break Of Dawn
Chance Waters,Stars Don't Shine
Chaos Divine,Painted With Grey
Charles Murdoch,Frogs {Ft. Taku/Wafia/Hak}
Charles Murdoch,Straws
Charlie Belle,Get To Know
Charlie Threads,Coffee {Ft. Baro}
Charlotte OC,If My House Was Burning
Chase & Status,Funny B2069{Ft. Frisco}
Chase City,I Lost Myself
Chase City,Scarlet Skies
Chasm,Lose My Mind
Cheatahs,Murasaki
Cheatahs,Seven Sisters
"Chemical Brothers, The",Born In The Echoes {Ft. Cate Le Bon}
"Chemical Brothers, The",Go {Ft. Q,Tip}
"Chemical Brothers, The",Sometimes I Feel So Deserted
"Chemical Brothers, The",Under Neon Lights {Ft. St. Vincent}
"Chemical Brothers, The",Wide Open {Ft. Beck}
"Cherry Dolls, The",The Last Time
Chet Faker,Bend
Childish Gambino,So Into You {triple j Like A Version}
Chris Lake & Anna Lunoe,Stomper
Christian Rich,Compromise {Ft. Sinead Harnett & GoldLink}
Christine And The Queens,Tilted
Christopher Coleman Collective,Just Like A Needle
Chromatics,I Can Never Be Myself When You're Around
Chromatics,Shadow
Chrome Sparks,Moonraker
Chronixx,Play Some Roots
Chvrches,Clearest Blue
Chvrches,Empty Threat
Chvrches,High Enough To Carry You Over
Chvrches,Keep You On My Side
Chvrches,Leave A Trace
Chvrches,Make Them Gold
Chvrches,Never Ending Circles
Chvrches,Playing Dead
Ciecmate,That's Fate
Ciggie Witch,Look Of Pain
Circa Waves,T,Shirt Weather
Citizen Kay,Life Gives You Lemons
Citizen Kay,Wax On Wax Off
City And Colour,Wasted Love
City Calm Down,Border On Control
City Calm Down,Falling
City Calm Down,In A Restless House
City Calm Down,Nowhere To Start
City Calm Down,Rabbit Run
City Calm Down,Son
City Calm Down,Wandering
City Calm Down,Your Fix
Claptone,Anything {Ft. Jaw}
Claptone,Dear Life {Ft. Jaw}
Claptone,Heartbeat {Ft. Nathan Nicholson}
Claptone,In The Beginning {Ft. Nathan Nicholson}
Claptone,Leave Your Light On {Ft. Young Galaxy}
Claptone,Puppet Theatre {Ft. Peter Bjorn & John}
Claptone,The Only Thing
Claws & Organs,Alphabetti Spaghetti
Cleopold,Down In Flames
Cleopold,Scarlet
cln,Left Behind
Closet Straights,Eight Days
Clowns,Alone With You {triple j Like A Version}
Clowns,Euthanise Me
Clowns,Never Enough
Clowns,These Veins
Club Cheval,Discipline
Club Cheval,From The Basement To The Roof
Clubfeet,We Are Affected
Coach Bombay,Sunshine
Coda Conduct,Knowledge Is King {Ft. Inès}
Coda Conduct,Paint It Gold
Coda Conduct,Pool Room
Coin Banks,Cursive
Coin Banks,Highs And Lows
Cold War Kids,One Song At A Time
Collarbones,Emoticon
Collarbones,Turning (Flume Remix)
Columbus,Downsides Of Being Honest {Ft. John F. of Trophy Eyes}
Columbus,Hospital
Comodo,2am
Conics,Burning Up
Corin,CDA
Cosmo Shelldrake,Rich {Ft. Anndreyah Vargas}
Cosmo's Midnight,Walk With Me {Ft. KUCKA}
Courtney Barnett,An Illustration Of Loneliness (Sleepless In New York)
Courtney Barnett,Aqua Profunda!
Courtney Barnett,Boxing Day Blues (Revisited)
Courtney Barnett,Dead Fox
Courtney Barnett,Debbie Downer
Courtney Barnett,Depreston
Courtney Barnett,Elevator Operator
Courtney Barnett,Nobody Really Cares If You Don't Go To The Party
Courtney Barnett,Pedestrian At Best
Cousin Tony's Brand New Firebird,Queen Of Hearts
Cousin Tony's Brand New Firebird,Soothsayer
Covers,Hours
Cradle of Filth,Right Wing of The Garden Triptych
"Crayon Fields, The",She's My Hero
"Creases, The",Point
CREO,Light It Up
Crepes,Cold Summers
Crepes,Size Of Your Town
Crepes,Stages Of Fear
"Cribs, The",Burning For No One
Crooked Colours,Another Way
Crooked Colours,Step
Crystal Castles,Deicide
Crystal Castles,Frail
Cub Sport,Only Friend
Cull,The Safest Address
Cull,Truth Bomb
Curse Ov Dialect,Twisted Strangers {Ft. Hemlock Ernst}
Curtis Harding,The Drive
Custard,We Are The Parents (Our Parents Warned Us About)
Cut Snake,Echo
Cut Snake,Jungle Shrimp
Cy Gorman,Busy Bee
Cy Gorman,Carmen San Diego
Cy Gorman,Cool Change {Ft. Will Poskitt}
Cyril Hahn,Last {Ft. Joel Ford}
Cyril Hahn,Same {Ft. Yumi Zouma}
D'Angelo And The Vanguard,Ain't That Easy
D'Angelo And The Vanguard,Sugah Daddy
D'Angelo And The Vanguard,The Charade
D'Angelo And The Vanguard,Till It's Done (Tutu)
Dam,Funk,Rise
Dam,Funk,We Continue
Dan Deacon,Feel The Lightning
Dan Deacon,When I Was Done Dying
Dan Kelly,Never Stop The Rot
Daniel Johns,Aerial Love
Daniel Johns,Chained
Daniel Johns,Cool On Fire
Daniel Johns,Dissolve
Daniel Johns,Going On 16
Daniel Johns,Imagination
Daniel Johns,New York
Daniel Johns,Preach
Daniel Johns,Sleepwalker
Daniel Johns,We Are Golden
Danny L Harle,Broken Flowers
Daphni,Vikram
Darcy Baylis,Envelopes
Dark Fair,Listen Up
Darlia,I've Never Been To Ohio
Darling James,Ultimatum Talk
Darren Hanlon,Trust Your Feelings (When You Wake)
Darts,Dead
Darts,Westward Bound
Darwin Deez,Kill Your Attitude
Daughter,Doing The Right Thing
Daughter,Numbers
David Zowie,House Every Weekend
